#	########################################
#	##### Peptide Assembling by Sipros #####
#	########################################
#	
#	###############
#	# Input Files #
#	###############
#	
#	[Input_Files]
#	
#	psm{Run1} = ./OSU_B5_FASP_Elite_02282014.psm.txt
#	
#	pep{Run1} = ./OSU_B5_FASP_Elite_02282014.pep.txt
#	
#	########################
#	# Filtering Parameters #
#	########################
#	
#	[Protein_Identification]
#	
#	# Minimum number of peptides per protein
#	Min_Peptide_Per_Protein = 2
#	
#	# Minimum number of unique peptides per protein
#	Min_Unique_Peptide_Per_Protein = 1
#	
#	#######################
#	# Statistical Results #
#	#######################
#	
#	[Statistical_Results]
#	
#	# Numbers of proteins before filtering
#	Decoy_Proteins_Before_Filtering = 149
#	Target_Proteins_Before_Filtering = 10413
#	Total_Proteins_Before_Filtering = 10562
#	
#	# Numbers of proteins after filtering
#	Decoy_Proteins_After_Filtering = 1
#	Target_Proteins_After_Filtering = 2772
#	Total_Proteins_After_Filtering = 2773
#	
#	# Protein FDR = Decoy_Proteins_After_Filtering / Total_Proteins_After_Filtering
#	Protein_FDR = 0.000360620266859
#	
#	################
#	# Column Names #
#	################
#	
#	[Column_Names]
#	ProteinID = Names of the protein
#	Run#_UniquePeptideCounts = Number of unique peptides in a run
#	Run#_TotalPeptideCounts = Number of all peptides in a run
#	Run#_UniqueSpectrumCounts = Number of unique PSM in a run
#	Run#_TotalSpectrumCounts = Number of all PSM in a run
#	Run#_BalancedSpectrumCounts = Balanced spectrum count in a run
#	Run#_NormalizedBalancedSpectrumCounts = Normalized Balanced spectrum count in a run
#	ProteinDescription = Protein description
#	TargetMatch = T for target match and F for decoy match
#	
ProteinID	Run1_UniquePeptideCounts	Run1_TotalPeptideCounts	Run1_UniqueSpectrumCounts	Run1_TotalSpectrumCounts	Run1_BalancedSpectrumCounts	Run1_NormalizedBalancedSpectrumCounts	ProteinDescription	TargetMatch
WP_008544851.1	2	4	4	6	4.66666666667	4.67	WP_008544851.1	T
WP_008544878.1	2	2	3	3	3.0	3.0	WP_008544878.1	T
WP_008544899.1	5	5	5	5	5.0	5.0	WP_008544899.1	T
WP_008544939.1	1	15	1	32	14.75	14.75	WP_008544939.1	T
WP_008544944.1	3	4	5	9	9.0	9.0	WP_008544944.1	T
WP_008544948.1	3	5	3	6	6.0	6.0	WP_008544948.1	T
WP_008544955.1	17	19	41	50	45.5	45.5	WP_008544955.1	T
WP_008544970.1	2	7	3	9	8.5	8.5	WP_008544970.1	T
WP_008544980.1	1	2	1	2	2.0	2.0	WP_008544980.1	T
WP_008545012.1	11	23	12	36	19.8551282051	19.86	WP_008545012.1	T
WP_008545035.1	1	14	1	41	24.8333333333	24.83	WP_008545035.1	T
WP_008545039.1	1	4	1	4	3.25	3.25	WP_008545039.1	T
WP_008545129.1	2	6	2	7	5.5	5.5	WP_008545129.1	T
WP_008545141.1	1	5	2	8	8.0	8.0	WP_008545141.1	T
WP_008545143.1	2	5	2	6	6.0	6.0	WP_008545143.1	T
WP_008545153.1	2	4	5	7	6.0	6.0	WP_008545153.1	T
WP_008545167.1	1	6	1	10	5.5	5.5	WP_008545167.1	T
WP_008545210.1	2	2	4	4	4.0	4.0	WP_008545210.1	T
WP_008545264.1	1	2	1	2	2.0	2.0	WP_008545264.1	T
WP_008545353.1	2	23	2	45	23.3333333333	23.33	WP_008545353.1	T
WP_008545417.1	1	10	1	18	15.5	15.5	WP_008545417.1	T
WP_008545557.1	1	2	1	2	2.0	2.0	WP_008545557.1	T
WP_008545561.1	1	2	1	2	1.5	1.5	WP_008545561.1	T
WP_008545607.1	15	15	18	18	18.0	18.0	WP_008545607.1	T
WP_008545614.1	3	3	4	4	4.0	4.0	WP_008545614.1	T
WP_008545690.1	2	2	3	3	3.0	3.0	WP_008545690.1	T
WP_008545705.1	2	4	5	9	9.0	9.0	WP_008545705.1	T
WP_008545738.1	13	30	41	61	51.1737570671	51.17	WP_008545738.1	T
WP_008545739.1	3	6	5	11	8.5	8.5	WP_008545739.1	T
WP_008545766.1	2	12	8	80	40.0	40.0	WP_008545766.1	T
WP_008545788.1	1	3	1	4	2.5	2.5	WP_008545788.1	T
WP_008545852.1	1	4	2	6	6.0	6.0	WP_008545852.1	T
WP_008545965.1	7	12	12	19	16.8333333333	16.83	WP_008545965.1	T
WP_008545994.1	4	8	4	11	11.0	11.0	WP_008545994.1	T
WP_008546066.1	7	12	13	32	15.8	15.8	WP_008546066.1	T
WP_008546087.1	5	5	6	6	6.0	6.0	WP_008546087.1	T
WP_009779179.1	1	11	1	53	6.51488927739	6.51	WP_009779179.1	T
WP_009781171.1	1	20	5	86	18.6502923977	18.65	WP_009781171.1	T
WP_009781658.1	1	2	1	3	2.0	2.0	WP_009781658.1	T
WP_009788231.1	2	3	3	4	3.5	3.5	WP_009788231.1	T
WP_009788397.1	3	4	3	5	4.0	4.0	WP_009788397.1	T
WP_009788439.1	3	4	3	4	4.0	4.0	WP_009788439.1	T
WP_009788698.1	2	2	2	2	2.0	2.0	WP_009788698.1	T
WP_009788844.1	1	2	1	4	2.5	2.5	WP_009788844.1	T
WP_009788868.1	1	4	1	33	5.30769230769	5.31	WP_009788868.1	T
WP_009788987.1	1	3	2	4	2.83333333333	2.83	WP_009788987.1	T
WP_009789340.1	1	2	1	2	1.5	1.5	WP_009789340.1	T
WP_009790495.1	3	7	3	10	5.28571428571	5.29	WP_009790495.1	T
WP_009790608.1	2	2	2	2	2.0	2.0	WP_009790608.1	T
WP_009834844.1	1	7	1	8	1.814666158	1.81	WP_009834844.1	T
WP_009836250.1	1	2	1	2	1.33333333333	1.33	WP_009836250.1	T
WP_010157990.1	1	2	1	2	1.5	1.5	WP_010157990.1	T
WP_010158074.1	2	2	2	2	2.0	2.0	WP_010158074.1	T
WP_010158448.1	2	2	2	2	2.0	2.0	WP_010158448.1	T
WP_010158495.1	1	4	1	6	3.5	3.5	WP_010158495.1	T
WP_010158496.1	1	2	1	2	2.0	2.0	WP_010158496.1	T
WP_010158523.1	2	3	2	3	2.5	2.5	WP_010158523.1	T
WP_010158935.1	2	2	4	4	4.0	4.0	WP_010158935.1	T
WP_010158953.1	2	2	2	2	2.0	2.0	WP_010158953.1	T
WP_010159473.1	1	2	1	2	1.5	1.5	WP_010159473.1	T
YP_001014135.1	1	2	2	5	3.5	3.5	YP_001014135.1	T
YP_001015658.1	1	13	1	32	8.07380952381	8.07	YP_001015658.1	T
YP_001015669.1	1	2	2	6	2.28571428571	2.29	YP_001015669.1	T
YP_001015778.1	1	2	1	2	2.0	2.0	YP_001015778.1	T
YP_001015817.1	1	2	1	2	1.5	1.5	YP_001015817.1	T
YP_001192735.1	1	3	2	13	3.40909090909	3.41	YP_001192735.1	T
YP_001192753.1	1	4	1	4	3.33333333333	3.33	YP_001192753.1	T
YP_001193842.1	1	4	1	5	2.1	2.1	YP_001193842.1	T
YP_001194291.1	1	4	1	7	2.125	2.13	YP_001194291.1	T
YP_001194977.1	2	6	5	9	7.4	7.4	YP_001194977.1	T
YP_003551168.1	2	2	2	2	2.0	2.0	YP_003551168.1	T
YP_003551257.1	2	2	3	3	3.0	3.0	YP_003551257.1	T
YP_003552171.1	1	13	1	75	11.380952381	11.38	YP_003552171.1	T
YP_003552224.1	1	12	1	16	10.0684939092	10.07	YP_003552224.1	T
YP_003552428.1	2	5	5	10	10.0	10.0	YP_003552428.1	T
YP_003552742.1	2	4	2	5	2.375	2.38	YP_003552742.1	T
YP_003860680.1	2	18	2	110	23.8947368421	23.89	YP_003860680.1	T
YP_003860855.1	1	2	3	4	3.5	3.5	YP_003860855.1	T
YP_003861395.1	1	3	1	6	2.0	2.0	YP_003861395.1	T
YP_004425587.1	1	3	1	4	4.0	4.0	YP_004425587.1	T
YP_004425932.1	2	3	2	3	3.0	3.0	YP_004425932.1	T
YP_004425973.1	1	2	1	2	2.0	2.0	YP_004425973.1	T
YP_004426391.1	1	2	1	2	1.5	1.5	YP_004426391.1	T
YP_004426652.1	2	2	2	2	2.0	2.0	YP_004426652.1	T
YP_004427030.1	2	2	2	2	2.0	2.0	YP_004427030.1	T
YP_004427038.1	1	2	1	2	1.5	1.5	YP_004427038.1	T
YP_004427284.1	1	4	1	4	3.5	3.5	YP_004427284.1	T
YP_004427743.1	2	4	6	14	8.66666666667	8.67	YP_004427743.1	T
YP_004427932.1	1	2	1	5	3.0	3.0	YP_004427932.1	T
YP_004428267.1	1	3	1	4	1.2	1.2	YP_004428267.1	T
YP_004428325.1	1	5	1	7	3.58333333333	3.58	YP_004428325.1	T
YP_004428602.1	4	10	8	33	10.8899749373	10.89	YP_004428602.1	T
YP_004429212.1	1	3	1	3	1.83333333333	1.83	YP_004429212.1	T
YP_007638784.1	1	2	1	2	1.5	1.5	YP_007638784.1	T
YP_007639010.1	1	4	1	4	1.54285714286	1.54	YP_007639010.1	T
YP_007639786.1	2	3	2	3	2.25	2.25	YP_007639786.1	T
YP_729367.1	1	2	1	3	2.0	2.0	YP_729367.1	T
YP_729613.1	2	8	2	11	5.65	5.65	YP_729613.1	T
YP_729716.1	1	2	1	2	2.0	2.0	YP_729716.1	T
YP_729722.1	2	5	7	11	9.83333333333	9.83	YP_729722.1	T
YP_729723.1	1	5	2	9	9.0	9.0	YP_729723.1	T
YP_729731.1	1	5	2	15	8.5	8.5	YP_729731.1	T
YP_729847.1	1	2	3	4	3.5	3.5	YP_729847.1	T
YP_731290.1	1	2	1	2	1.33333333333	1.33	YP_731290.1	T
YP_731510.1	1	4	1	7	2.28571428571	2.29	YP_731510.1	T
YP_731699.1	5	5	6	6	6.0	6.0	YP_731699.1	T
YP_860642.1	1	2	1	2	1.5	1.5	YP_860642.1	T
YP_862863.1	1	4	1	4	2.41666666667	2.42	YP_862863.1	T
acetate|contig-21463000011_2	2	10	2	13	7.0	7.0	acetate|contig-21463000011_2	T
